candidate_name,party_name_expanded,secured_votes,percentage_of_votes,state_name,constituency_name,party_name
BISHNU PADA RAY,Bharatiya Janata Party,102436,50.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands,BJP
KULDEEP RAI SHARMA,Indian National Congress,78040,38.54,Andaman & Nicobar Islands,Andaman & Nicobar Islands,INC
MANOJ PAUL,Andaman Nicobar Democratic Congress,8254,4.08,Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDC
D AYYAPPAN,Communist Party of India (Marxist),6017,2.97,Andaman & Nicobar Islands,Andaman & Nicobar Islands,CPI (M)
V.K. ABDUL AZIZ,Independent,2203,1.09,Andaman & Nicobar Islands,Andaman & Nicobar Islands,IND
K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,914,0.45,Andaman & Nicobar Islands,Andaman & Nicobar Islands,AIADMK
DR ARUN KUMAR MALLIK,Bahujan Samaj Party,719,0.36,Andaman & Nicobar Islands,Andaman & Nicobar Islands,BSP
RINKU MALA MONDAL,Independent,542,0.27,Andaman & Nicobar Islands,Andaman & Nicobar Islands,IND
K VENKAT RAM BABU,Independent,507,0.25,Andaman & Nicobar Islands,Andaman & Nicobar Islands,IND
USHA KUMARI,Independent,380,0.19,Andaman & Nicobar Islands,Andaman & Nicobar Islands,IND
SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),351,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands,SUCI (C)
ANAND RAMNATH ARLEKAR,Independent,342,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands,IND
NOTA,None of the Above,1809,0.89,Andaman & Nicobar Islands,Andaman & Nicobar Islands,NA
G M HARISH (BALAYOGI),Telugu Desam,796981,61.25,Andhra Pradesh,Amalapuram,TD
RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785,34.95,Andhra Pradesh,Amalapuram,YSRCP
GOUTHAM JANGA,Indian National Congress,15082,1.16,Andhra Pradesh,Amalapuram,INC
DORABABU YALLA,Bahujan Samaj Party,5388,0.41,Andhra Pradesh,Amalapuram,BSP
KATRU NAGA BABU,Telugu Nava Garjana Party,3741,0.29,Andhra Pradesh,Amalapuram,TNGP
VADDI LALITH KUMAR,Independent,2977,0.23,Andhra Pradesh,Amalapuram,IND
MAKEY DAVY PRASAD,Independent,2111,0.16,Andhra Pradesh,Amalapuram,IND
GUDE VENKATESWARULU,Independent,1745,0.13,Andhra Pradesh,Amalapuram,IND
RAMESH JILLELLA,Jatiya Jana Sena Party,872,0.07,Andhra Pradesh,Amalapuram,JJSP
YALANGI RAMESH,Jaibhim Rao Bharat Party,740,0.06,Andhra Pradesh,Amalapuram,JRBP
MATHA KRISHNA,Pyramid Party of India,719,0.06,Andhra Pradesh,Amalapuram,PPI
GIDDI JNANA PRAKASA RAO,Republican Party of India,726,0.06,Andhra Pradesh,Amalapuram,RPI
YADLA RAJESH,Liberation Congress Party,635,0.05,Andhra Pradesh,Amalapuram,LCP
KAPA KALYAN,Republican Party of India (A),581,0.04,Andhra Pradesh,Amalapuram,RPI ()
PATHURI RAMESH,Peoples Party of India (Democratic),505,0.04,Andhra Pradesh,Amalapuram,PPI (D)
NOTA,None of the Above,13518,1.04,Andhra Pradesh,Amalapuram,NA
C.M.RAMESH,Bharatiya Janata Party,762069,57.5,Andhra Pradesh,Anakapalle,BJP
BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,465539,35.13,Andhra Pradesh,Anakapalle,YSRCP
VEGI VENKATESH,Indian National Congress,25651,1.94,Andhra Pradesh,Anakapalle,INC
PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19157,1.45,Andhra Pradesh,Anakapalle,BSP
VANKAYALA RAMACHANDRA RAO,Independent,4002,0.3,Andhra Pradesh,Anakapalle,IND
LOVARAJU SIDDHA,Independent,3852,0.29,Andhra Pradesh,Anakapalle,IND
KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3557,0.27,Andhra Pradesh,Anakapalle,DBP
