state_name,assembly_constituency_number,assembly_constituency_name,candidate_name,candidate_sex,candidate_age,candidate_category,party_name,secured_votes,percentage_of_votes,total_voters,total_votes_in_state,PERCENT_VOTES_POLLED,candidate_position
Maharashtra,1,Akkalkuwa ,ADV. K. C. PADAVI,MALE,61,ST,INC,82770,41.25545786,278888,200628,71.93855598,1
Maharashtra,1,Akkalkuwa ,AAMSHYA FULJI PADAVI,MALE,51,ST,SHS,80674,40.21073828,278888,200628,71.93855598,2
Maharashtra,1,Akkalkuwa ,NAGESH DILVARSING PADVI,MALE,44,ST,IND,21664,10.79809398,278888,200628,71.93855598,3
Maharashtra,1,Akkalkuwa ,NOTA,NOTA,0,NOTA,NOTA,4857,2.420898379,278888,200628,71.93855598,4
Maharashtra,1,Akkalkuwa ,ADV. KAILAS PRATAPSING VASAVE,MALE,28,ST,AAAP,4055,2.021153578,278888,200628,71.93855598,5
Maharashtra,1,Akkalkuwa ,BHARAT JALYA PAWARA,MALE,27,ST,IND,3784,1.886077716,278888,200628,71.93855598,6
Maharashtra,1,Akkalkuwa ,DR.SANJAY RAVLYA VALVI,MALE,27,ST,BTP,2824,1.407580198,278888,200628,71.93855598,7
Maharashtra,2,Shahada ,Rajesh Udesing Padvi,MALE,50,ST,BJP,94931,45.12079775,320555,210393,65.63397857,1
Maharashtra,2,Shahada ,Adv.Padmakar Vijaysing Valvi,MALE,51,ST,INC,86940,41.32266758,320555,210393,65.63397857,2
Maharashtra,2,Shahada ,Eng.Jelsing Bijala Pawara,MALE,59,ST,IND,21013,9.987499584,320555,210393,65.63397857,3
Maharashtra,2,Shahada ,Mali Jaysing Devchand,MALE,66,ST,CPIM,4060,1.929721996,320555,210393,65.63397857,4
Maharashtra,2,Shahada ,NOTA,NOTA,0,NOTA,NOTA,3449,1.639313095,320555,210393,65.63397857,5
Maharashtra,3,Nandurbar ,VIJAYKUMAR KRUSHNARAO GAVIT,MALE,64,ST,BJP,121605,64.51570118,339098,188489,55.58540599,1
Maharashtra,3,Nandurbar ,UDESING KOCHARU PADVI,MALE,71,ST,INC,51209,27.16816366,339098,188489,55.58540599,2
Maharashtra,3,Nandurbar ,DIPA SHAMSHON VALVI,FEMALE,33,ST,VBA,6734,3.572622275,339098,188489,55.58540599,3
Maharashtra,3,Nandurbar ,NOTA,NOTA,0,NOTA,NOTA,3521,1.868013518,339098,188489,55.58540599,4
Maharashtra,3,Nandurbar ,ANANDA SUKALAL KOLI,MALE,52,ST,IND,2047,1.086005019,339098,188489,55.58540599,5
Maharashtra,3,Nandurbar ,VIPUL RAMSING VASAVE,MALE,25,ST,BSP,1925,1.021279756,339098,188489,55.58540599,6
Maharashtra,3,Nandurbar ,Adv.PRAKASH MOHAN GANGURDE,MALE,31,ST,SWP,1448,0.768214591,339098,188489,55.58540599,7
Maharashtra,4,Nawapur ,Naik Shirishkumar Surupsing,MALE,47,ST,INC,74652,34.29705554,287977,217663,75.58346674,1
Maharashtra,4,Nawapur ,Sharad Krushnarao Gavit,MALE,56,ST,IND,63317,29.08946399,287977,217663,75.58346674,2
Maharashtra,4,Nawapur ,Gavit Bharat Manikrao,MALE,48,ST,BJP,58579,26.9127045,287977,217663,75.58346674,3
Maharashtra,4,Nawapur ,Dr. Ulhas Jayant Vasave,MALE,45,ST,BTP,6009,2.76068969,287977,217663,75.58346674,4
Maharashtra,4,Nawapur ,Jagan Hurji Gavit,MALE,49,ST,VBA,5462,2.509383772,287977,217663,75.58346674,5
